CATEGORY	TIME	INDICATOR	SOURCE	DESCRIPTION	UNIT	MAP	GRAPH	DATA	OPTIONS	ID	AFG	ALB	DZA	AND	AGO	AIA	ATG	ARG	ARM	ABW	AUS	AUT	AZE	BHS	BHR	BGD	BRB	BLR	BEL	BLZ	BEN	BMU	BTN	BOL	BIH	BWA	BRA	VGB	BRN	BGR	BFA	BDI	KHM	CMR	CAN	CPV	CYM	CAF	TCD	CHL	CHN	COL	COM	COG	COK	CRI	CIV	HRV	CUB	CYP	CZE	PRK	COD	DNK	DJI	DMA	DOM	ECU	EGY	SLV	GNQ	ERI	EST	ETH	FJI	FIN	FRA	GAB	GMB	GEO	DEU	GHA	GIB	GRC	GRD	GTM	GIN	GNB	GUY	HTI	VAT	HND	HKG	HUN	ISL	IND	IDN	IRN	IRQ	IRL	ISR	ITA	JAM	JPN	JOR	KAZ	KEN	KIR	KWT	KGZ	LAO	LVA	LBN	LSO	LBR	LBY	LIE	LTU	LUX	MAC	MDG	MWI	MYS	MDV	MLI	MLT	MHL	MRT	MUS	MEX	FSM	MCO	MNG	MNE	MSR	MAR	MOZ	MMR	NAM	NRU	NPL	NLD	ANT	NZL	NIC	NER	NGA	NIU	NOR	OMN	PAK	PLW	PSE	PAN	PNG	PRY	PER	PHL	POL	PRT	QAT	KOR	MDA	ROU	RUS	RWA	KNA	LCA	VCT	WSM	SMR	STP	SAU	SEN	SRB	SYC	SLE	SGP	SVK	SVN	SLB	SOM	ZAF	ESP	LKA	SDN	SUR	SWZ	SWE	CHE	SYR	TJK	THA	MKD	TLS	TGO	TKL	TON	TTO	TUN	TUR	TKM	TCA	TUV	UGA	UKR	ARE	GBR	TZA	USA	URY	UZB	VUT	VEN	VNM	YEM	ZMB	ZWE	GUF	ESH	TWN	GRL	EAZ	SJM	PRI	IMN	JEY	GGY	VIR	KOS	SSD	FrenchPolynesia	Guadeloupe	Guam	Martinique	Mayotte	NewCaledonia	Reunion	HongKong	ChannelIslands	FaeroeIslands	FalklandIslands	NorthernMarianaIslands	Pitcairn	SaintHelena	SaintPierreandMiquelon	WallisandFutunaIslands	WestBankandGaza
		-									1.22	6.04	5.84	37.61	1.14	27.44	34.72	17.72	5.25	23.75	63.25	55.02	8.03	31.64	21.3	0.24	63.18	26.49	57.57	9.21	1.27	65.45	3.85	5.23	21.33	3.26	21.02	18.89	36.47	19.97	0.47	0.54	0.32	1.4	67.92	6.07	38.03	0.27	0.4	31.18	8.52	11.01	3.24	1.46	26.2	21.31	1.04	33.14	9.74	31.05	32.11																																																																																																																																																																																											
		-										0.01	0.41	12.96		16.23	6.85	2.39	0.06	12.15	9.88	14.26	0.03	2.2	2.95		12.61	0.02	19.3	1.78		28.81		0.14	0.36	0.09	1.74		2.2	2.14			0.01		21.68	0.2				4.35	2.85	0.74			0.28	1.04	0.01	2.61		3.81	6.96																																																																																																																																																																																											
>Sub-Category 2																																																																																																																																																																																																																																																								
>>Sub-Sub-Category 1	2015		<a href='http://www.pisa.oecd.org'>PISA</a>							subsubcategory1																																																																																																																																																																																																																																														
		Example indicator 1								20											93.9	92.97							87.04								27.04								93.2																76.54																																																																																																																																																																																											
>>Sub-Sub-Category 2	2015									subsubcategory2																																																																																																																																																																																																																																														
		Example indicator 1							calc=latestdata	21	5.6	5.4	2		19.5		12.9	8.5	13.2		2.6	3.6	34.5	3.5	6.7	6.5	3.6	10	2.7	4.7	3.8		6.4	4.8	6.1	5.1	4		4.4	6.5	5.5	5.1	10.8	3.2	2.8	10.1		3.8	0.2	4.6	12.7	6.7	1.2	6.2		8.8	0.7	4.7	2.3	4.1	6.8																																																																																																																																																																																											
		Example indicator 2							calc=latestdata	22	620.4	5800.9	6213.61		3992.94		17065.24	12044.9	4557.51		35310.39	36073.98	6120.93	26255.05	29930.69	1228.58	21581.7	9762.25	33798.76	7705.2	1307.93		3794.96	3882.78	6589.3	13474.95	9166.47		49442.68	10989.09	1168.51	356.62	1669.56	2025.59	36943.17	2913.76		691.34	1663.14	13064.07	4748.98	7989.89	1154.95	3801.66		9618.33	1595.66	16363.7	31765.9	26081.65	22300.76																																																																																																																																																																																											
		Example indicator 3							calc=latestdata	23	16.56	18.27	210.02		68.24		1.4	469.4	14.68		737.06	298.26	53.3	8.64	22.42	191	5.91	94.83	357.76	2.31	11.29		2.52	37.38	25.83	23.52	1700.97		18.94	84.39	15.68	2.73	23.04	37.15	1201.87	1.41		2.89	15.4	214.44	6242.44	346.8	0.71	13.11		41.88	31.23	72.66	171.46	19.99	228.61																																																																																																																																																																																											
	2000																																																																																																																																																																																																																																																							
		-									11.2	5.8	5.1		20.6		5	9.2	13.9		3.1	2.5	26.4	5	7.9	6.3	3.9	9.4	2	3	2.9		7	4.4	4	1.6	3.2		0.4	6.4	8.7	0.9	13.3	2.3	3	6.5		2.4	7.9	5.5	11.3	4.7	4.2	7.8		5.9	1.9	4.2	0.4	3.9	6.3																																																																																																																																																																																											
		-									591.41	5352.51	6059.89		3328.61		14802.25	10859.92	3903.5		33862.19	33897.44	4455.83	24877.4	27721.89	1134.02	20226.85	8562.36	32099.52	7324.85	1254.99		3530.85	3664.31	6012.44	12513.13	8603.36		47464.68	9940.82	1097.46	335.1	1456.7	1953.66	35150.18	2604.98		657.92	1648.44	12237.15	4102.5	7339.52	1128	3566.12		8739.05	1580.16	15123.53	30305.33	24816.79	20281.02																																																																																																																																																																																											
		-									15.2	16.78	199.41		55.32		1.21	419.11	12.56		695.67	278.82	38.38	8.08	20.36	173.64	5.53	83.49	337.4	2.14	10.54		2.29	34.54	23.57	21.67	1584.6		17.57	76.73	14.39	2.51	20.14	34.86	1132	1.24		2.7	14.89	198.56	5364.26	314.78	0.68	11.95		37.28	30.02	67.18	163.15	18.59	207.28																																																																																																																																																																																											
Non-Latin text example	2017									nonlatintextexample																																																																																																																																																																																																																																														
		እንኳን ደህና መጣህ።								24	65		88					24			72																93								78						93										76	81	14					70	39	43							2	41	83	14																																																																																																																																																																								
		 أهلاً و سهلاً								25	79		66					10			25																91								53						74										49	84	14					62	20	78							81	43	65	95																																																																																																																																																																								
		Բարի գալուստ								26	66		13					44			34																34								13						96										11	75	41					47	36	50							66	39	80	69																																																																																																																																																																								
		Բարի՜ եկաք								27	26		11					21			35																97								63						51										83	65	95					43	6	70							32	55	17	96																																																																																																																																																																								
		স্বাগতম								28	11		58					67			38																52								53						27										70	60	51					23	50	53							63	26	97	79																																																																																																																																																																								
		आईं ना								29	93		10					54			97																2								57						57										5	84	2					8	7	59							76	90	73	36																																																																																																																																																																								
		Добре дошъл								30	96		61					75			8																23								57						29										84	17	16					47	43	59							93	74	24	82																																																																																																																																																																								
		ᎤᎵᎮᎵᏍᏗ								31	63		5					81			51																16								90						90										74	86	71					33	41	13							85	46	41	55																																																																																																																																																																								
		歡迎 								32	14		72					24			77																61								64						74										4	23	99					91	63	70							44	51	35	74																																																																																																																																																																								
		 歡迎光臨 								33	62		90					4			85																56								59						29										37	37	51					53	11	30							61	9	63	50																																																																																																																																																																								
		欢迎 								34	91		88					13			9																67								16						72										84	34	40					95	28	8							30	92	66	19																																																																																																																																																																								
		歡迎光臨 								35	5		12					99			91																24								94						11										61	57	47					17	92	60							84	42	61	65																																																																																																																																																																								
		კეთილი იყოს თქვენი								36	70		38					27			58																75								41						63										6	52	13					79	25	17							44	78	91	86																																																																																																																																																																								
		Καλώς Ορίσατε 								37	55		57					64			52																69								54						3										63	2	89					32	49	53							63	4	35	49																																																																																																																																																																								
		પધારો								38	79		40					67			92																90								19						92										78	2	52					34	74	10							2	63	26	68																																																																																																																																																																								
		सवागत हैं								39	17		72					5			8																29								5						79										9	50	35					26	49	6							99	55	4	17																																																																																																																																																																								
		 ᑐᙵᓱ								40	23		46					52			32																18								88						40										68	58	47					37	46	28							18	13	42	67																																																																																																																																																																								
		ようこそ								41	2		64					14			5																48								17						15										4	90	58					81	74	9							12	85	46	32																																																																																																																																																																								
		ꦱꦸꦒꦼꦁꦫꦮꦸꦃ								42	8		23					12			28																78								33						11										45	17	52					84	84	56							44	22	43	51																																																																																																																																																																								
		ಸುಸ್ವಾಗತ 								43	42		64					99			19																3								44						64										41	96	71					64	9	24							92	64	50	77																																																																																																																																																																								
		សូម​ស្វាគមន៍								44	62		70					26			48																61								86						67										92	65	74					5	59	81							11	90	19	5																																																																																																																																																																								
		 환영합니다								45	24		89					97			43																96								63						68										45	11	71					38	59	60							29	15	1	23																																																																																																																																																																								
		Кош келиңиз								46	88		43					23			10																4								59						14										66	44	44					34	75	80							93	40	50	6																																																																																																																																																																								
		ברוך הבא								47	81		47					13			94																75								81						7										2	2	83					93	2	94							44	9	87	4																																																																																																																																																																								
		 ຍິນດີຕ້ອນຮັບ								48	40		70					67			28																67								33						0										39	77	32					40	66	25							62	62	44	97																																																																																																																																																																								
		Добредојде 								49	54		24					49			27																13								17						59										62	37	85					14	53	16							55	19	86	30																																																																																																																																																																								
		സ്വാഗതം								50	69		85					59			75																94								21						21										42	24	95					46	97	3							11	69	94	36																																																																																																																																																																								
		स्वागत आहे								51	94		31					62			73																89								93						34										82	49	76					86	45	95							18	90	57	13																																																																																																																																																																								
		स्वागतम्								52	99		55					37			80																77								26						7										55	38	96					34	20	72							54	92	76	86																																																																																																																																																																								
		 Хош келдинъиз								53	26		89					63			86																89								72						96										95	1	72					91	6	23							65	19	96	34																																																																																																																																																																								
		めんそーれー								54	51		45					27			68																81								57						37										1	94	37					4	65	68							73	49	53	46																																																																																																																																																																								
		 ସ୍ବାଗତ								55	64		43					94			68																73								53						100										29	66	19					11	53	8							99	48	39	71																																																																																																																																																																								
		ਜੀ ਆਇਆ ਨੂੰ। / جی آیاں نُوں								56	1		43					74			13																98								89						86										15	28	55					18	54	2							49	69	82	43																																																																																																																																																																								
		 Добро пожаловать!								57	88		6					11			27																97								20						62										36	3	84					24	63	36							75	16	25	11																																																																																																																																																																								
		 Нөрүөн нөргүй!								58	98		72					12			84																97								59						46										34	92	25					17	36	87							89	24	30	19																																																																																																																																																																								
		स्वागतम्								59	77		24					39			22																25								90						72										99	0	95					63	70	11							7	38	38	93																																																																																																																																																																								
		සාදරයෙන් පිලිගන්නවා								60	86		93					59			79																79								44						92										32	91	46					8	16	72							12	83	71	56																																																																																																																																																																								
		வாருங்கள்								61	40		11					28			50																49								26						96										40	45	15					29	9	41							71	42	93	81																																																																																																																																																																								
		 సుస్వాగతం								62	68		37					50			56																38								12						85										95	12	9					4	14	24							13	88	92	75																																																																																																																																																																								
		ยินดีต้อนรับ								63	21		96					28			46																58								72						3										66	32	51					51	73	68							73	48	21	42																																																																																																																																																																								
		ཕེབས་པར་དགའ་བསུ་ཞུ།								64	5		1					46			38																1								63						91										19	34	2					82	16	70							95	47	62	34																																																																																																																																																																								
		መርሓባ								65	7		49					54			24																94								95						21										31	3	56					44	18	7							95	44	21	29																																																																																																																																																																								
